"mo","yr","unit","count"
"04","2014",3155.18,433
"05","2014",4018.35,695
"06","2014",1924.82,339
"07","2014",2604.33,485
"08","2014",2230.6,395
"09","2014",1928.86,300
"10","2014",4175.33,695
"11","2014",2641.8,444
"12","2014",2201.52,373
"01","2015",1885.11,328
"02","2015",3177.27,572
"03","2015",3271.61,520
"04","2015",2545.26,514
"05","2015",2370.66,465
"06","2015",1749.26,407
"07","2015",1762.5,397
"08","2015",1664.36,321
"09","2015",567.04,166
"10","2015",2071.69,430
"11","2015",3864.02,713
"12","2015",2362.44,375
"01","2016",1623.1,279
"02","2016",1488.48,270
"04","2016",1224.24,228
"05","2016",1243.34,300
"06","2016",1037.1,233
"07","2016",1486.86,320
"08","2016",1409.44,298
"09","2016",713.26,209
